No.,Time,Source,Destination,Info,Protocol,Length
109,1679479441.727285,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
110,1679479441.727509,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
111,1679479441.727566,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
112,1679479441.727668,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
113,1679479441.731154,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
114,1679479441.731456,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
115,1679479441.731191,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
116,1679479441.731598,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,364
117,1679479441.731652,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
118,1679479441.984839,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http PA / Raw,Ethernet,493
119,1679479441.985305,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A,Ethernet,54
120,1679479442.112878,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
121,1679479442.113103,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
122,1679479442.113163,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
123,1679479442.113218,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
124,1679479442.116329,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
125,1679479442.116859,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
126,1679479442.116374,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
127,1679479442.117132,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
128,1679479442.117310,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
129,1679479442.117540,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
130,1679479442.128446,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
131,1679479442.128628,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
132,1679479442.130381,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
133,1679479442.130516,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
134,1679479442.130555,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
